Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,+/-,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS
1,Taylor Hall\hallta02,26,NJD,LW,1264,77.07,72,62,19,4,3,39,54,93,14,,,,,,9.9,2.3,0.0,12.2
2,Nathan MacKinnon\mackina01,22,COL,C,1194,72.80,60,66,19,11,4,39,58,97,11,,,,,,10.0,2.2,0.0,12.2
3,Anze Kopitar\kopitan01,30,LAK,C,551,33.60,11,11,41,49,12,35,57,92,21,,,,,,7.9,3.1,0.0,11.0
4,Claude Giroux\giroucl01,30,PHI,C/RW,546,33.29,10,10,44,45,21,34,68,102,28,,,,,,9.0,2.8,0.0,11.8
5,Connor McDavid\mcdavco01,21,EDM,C,270,16.46,6,5,19,16,32,41,67,108,20,,,,,,10.5,2.6,0.0,13.1
6,Nikita Kucherov\kucheni01,24,TBL,RW,166,10.12,0,6,8,15,39,39,61,100,15,,,,,,9.8,1.8,0.0,11.6
7,Evgeni Malkin\malkiev01,31,PIT,C,97,5.91,3,2,6,5,8,42,56,98,16,,,,,,10.2,2.2,0.0,12.4
8,Blake Wheeler\wheelbl01,31,WPG,RW,69,4.21,1,2,1,6,22,23,68,91,13,,,,,,7.1,2.1,0.0,9.2
9,Alex Ovechkin\ovechal01,32,WSH,LW,37,2.26,0,0,2,5,12,49,38,87,3,,,,,,9.3,1.9,0.0,11.2
10,William Karlsson\karlswi01,25,VEG,C,32,1.95,1,0,3,2,1,43,35,78,49,,,,,,8.3,3.5,0.0,11.8
11,Brad Marchand\marchbr03,29,BOS,LW,10,0.61,0,0,2,0,0,34,51,85,25,,,,,,8.4,2.5,0.0,11.0
12,Pekka Rinne\rinnepe01,35,NSH,G,9,0.55,0,0,0,2,3,0,1,1,0,42,13,4,2.31,.927,0.0,0.0,13.2,13.2
13,Connor Hellebuyck\helleco01,24,WPG,G,5,0.30,0,0,0,1,2,0,2,2,0,44,11,9,2.36,.924,0.0,0.0,14.0,14.0
14,Artemi Panarin\panarar01,26,CBJ,LW,4,0.24,0,0,0,1,1,27,55,82,23,,,,,,6.8,2.6,0.0,9.4
15,Sergei Bobrovsky\bobrose01,29,CBJ,G,3,0.18,0,0,0,1,0,0,3,3,0,37,22,6,2.42,.921,0.0,0.0,12.9,12.9
15,Drew Doughty\doughdr01,28,LAK,D,3,0.18,0,0,0,1,0,10,50,60,23,,,,,,4.4,7.3,0.0,11.7
17,Patrice Bergeron\bergepa01,32,BOS,C,1,0.06,0,0,0,0,1,30,33,63,21,,,,,,6.0,2.3,0.0,8.3
17,Sidney Crosby\crosbsi01,30,PIT,C,1,0.06,0,0,0,0,1,29,60,89,0,,,,,,7.3,1.8,0.0,9.1
17,Victor Hedman\hedmavi01,27,TBL,D,1,0.06,0,0,0,0,1,17,46,63,32,,,,,,5.7,5.2,0.0,11.0
17,Eric Staal\staaler01,33,MIN,C,1,0.06,0,0,0,0,1,42,34,76,8,,,,,,8.0,1.8,0.0,9.8
